station,usage,total_bikes,poi_name,poi_distance,poi_address
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Les Demoiselles,89.0,"23 rue Léon Jost, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Boulangerie-Pâtisserie Lohezic,220.0,"143 rue de Courcelles (Rue Pierre Demours), 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Elyfleur,37.0,"82 avenue de Wagram, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Le Millésimes,219.0,"110 rue de Courcelles, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Boulangerie du Parc Monceau,238.0,"51 rue de Prony (Rue Cardinet), 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Le Central,144.0,"65 rue de Prony (Rue Jouffroy-d'Abbans), 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Eyal LEVY,101.0,"4 rue Théodore de Banville, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Clinique vétérinaire Wagranville,101.0,"4 rue Th\u00e9odore de Banville, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Brasserie le Diplomate,367.0,"110 boulevard de Courcelles, 75017 Paris"
Jouffroy d'Abbans - Wagram,0.8157894736842105,38,Carrefour City,208.0,"85 rue Jouffroy d'Abbans, 75017 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,La Coïncidence,674.5838847008364,15 rue Mesnil
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Poincaré,796.3837457247423,22 avenue Raymond Poincaré
Benjamin Godard - Victor Hugo,0.9142857142857144,35,L'Astrance,1193.9057475548866,4 rue Beethoven
